asset_target,task,model,accuracy_increment_vs_baseline,balanced_accuracy_increment_vs_baseline,MAE_change_vs_baseline,MAE_not_worse_than_baseline
GLD_ret,regression,baseline,0.0,0.0,0.0,True
GLD_ret,regression,shock_main,-0.0166666666666667,-0.0134680134680134,3.966502217215597e-05,False
GLD_ret,regression,shock_interactions,0.0083333333333333,0.0058922558922558,3.299277437887431e-05,False
GLD_ret,regression,rag_memory,0.0333333333333333,0.0387205387205387,-7.835563947080314e-05,True
GLD_ret,regression,shock_rag,0.0333333333333333,0.0404040404040404,-2.7918843480970873e-05,True
GLD_ret,regression,case_model,0.025,0.047979797979798,0.0008296402311986,False
GLD_ret,regression,fusion,0.0083333333333333,0.0109427609427609,-9.730000868317032e-06,True
GLD_ret,regression,fusion_case,0.0166666666666666,0.0303030303030302,5.934137957368073e-05,False
QQQ_ret,regression,baseline,0.0,0.0,0.0,True
QQQ_ret,regression,shock_main,-0.0135135135135134,-0.0117647058823529,-8.19055760979577e-05,True
QQQ_ret,regression,shock_interactions,0.0337837837837837,0.019140989729225,0.0001682503574643,False
QQQ_ret,regression,rag_memory,-0.0135135135135134,-0.0097105508870214,8.396771130241877e-05,False
QQQ_ret,regression,shock_rag,0.0135135135135134,0.0220354808590103,-0.0002261065406712,True
QQQ_ret,regression,case_model,-0.0945945945945945,-0.0741363211951446,0.0006149101497723,False
QQQ_ret,regression,fusion,0.0405405405405405,0.0414565826330531,-6.346332593252547e-05,True
QQQ_ret,regression,fusion_case,0.0,-0.0061624649859943,-0.000537404394464,True
SPY_ret,regression,baseline,0.0,0.0,0.0,True
SPY_ret,regression,shock_main,0.027027027027027,0.0241758241758242,0.000322030992396,False
SPY_ret,regression,shock_interactions,0.0878378378378378,0.0847985347985348,0.0006076721528433,False
SPY_ret,regression,rag_memory,0.0878378378378378,0.0891941391941391,-0.0006647136138379,True
SPY_ret,regression,shock_rag,0.0675675675675676,0.0619047619047619,-0.0003171721670763,True
SPY_ret,regression,case_model,-0.027027027027027,-0.0168498168498168,0.0009541903846515,False
SPY_ret,regression,fusion,0.1081081081081081,0.1054945054945054,-0.0001587441995844,True
SPY_ret,regression,fusion_case,0.0878378378378378,0.0840659340659339,-0.0003014265895872,True
UUP_ret,regression,baseline,0.0,0.0,0.0,True
UUP_ret,regression,shock_main,-0.02803738317757,-0.0272630078403421,0.0001244948375815,False
UUP_ret,regression,shock_interactions,0.0467289719626167,0.0516749821810406,8.742872051694436e-05,False
UUP_ret,regression,rag_memory,0.0467289719626167,0.040983606557377,-5.5353244260376855e-05,True
UUP_ret,regression,shock_rag,0.0560747663551401,0.0518531717747683,2.7484223356759666e-05,False
UUP_ret,regression,case_model,0.0373831775700934,0.0408054169636493,6.423173512006084e-05,False
UUP_ret,regression,fusion,0.02803738317757,0.0326086956521738,8.599777922624948e-05,False
UUP_ret,regression,fusion_case,0.02803738317757,0.0245901639344262,-3.907413549122593e-05,True
