asset_target,model,accuracy_increment_vs_baseline,MAE_change_vs_baseline,MAE_not_worse_than_baseline
GLD_ret,baseline,0.0,0.0,True
GLD_ret,shock_main,0.050000000000000044,-0.0006787344385891497,True
GLD_ret,shock_interactions,0.008333333333333415,-7.270241068410739e-05,True
GLD_ret,rag_memory,0.050000000000000044,-5.264211223207291e-05,True
GLD_ret,shock_rag,0.01666666666666672,-0.0001718735528298751,True
GLD_ret,case_model,0.04166666666666674,-0.0006274113618925728,True
GLD_ret,fusion,0.025000000000000022,0.00010375868190148907,False
GLD_ret,fusion_case,-0.008333333333333304,-0.00014420541656582492,True
QQQ_ret,baseline,0.0,0.0,True
QQQ_ret,shock_main,0.0675675675675676,-0.0002844654140321222,True
QQQ_ret,shock_interactions,0.040540540540540515,-0.0001362375920151513,True
QQQ_ret,rag_memory,0.12837837837837834,-0.0003843063957809558,True
QQQ_ret,shock_rag,0.13513513513513514,-2.468648777677676e-05,True
QQQ_ret,case_model,-0.05405405405405406,-4.557494038273484e-05,True
QQQ_ret,fusion,0.13513513513513514,-0.0001484534247130874,True
QQQ_ret,fusion_case,0.09459459459459457,-0.00043095145595966645,True
SPY_ret,baseline,0.0,0.0,True
SPY_ret,shock_main,-0.03378378378378377,0.0010054697025869263,False
SPY_ret,shock_interactions,-0.07432432432432429,0.0015467293953612873,False
SPY_ret,rag_memory,0.0,-0.0005265826809891239,True
SPY_ret,shock_rag,0.04729729729729737,-0.0006406550067843495,True
SPY_ret,case_model,-0.1216216216216216,0.0005470610847159805,False
SPY_ret,fusion,0.006756756756756799,1.920373823729657e-06,False
SPY_ret,fusion_case,-0.013513513513513487,-0.00018931312412023837,True
UUP_ret,baseline,0.0,0.0,True
UUP_ret,shock_main,-0.009345794392523366,0.00020532729060830993,False
UUP_ret,shock_interactions,0.018691588785046676,0.00022583355692135446,False
UUP_ret,rag_memory,-0.009345794392523366,6.318835094709305e-05,False
UUP_ret,shock_rag,0.0,0.0001550772492187255,False
UUP_ret,case_model,0.018691588785046676,0.0002609780500824003,False
UUP_ret,fusion,0.04672897196261677,-8.249136461128525e-05,True
UUP_ret,fusion_case,0.0934579439252336,-0.0001376757191372908,True
